dataset,pickup_hour,trip_count
yellow_tripdata_2015,0,469971
yellow_tripdata_2015,1,355145
yellow_tripdata_2015,2,268133
yellow_tripdata_2015,3,198524
yellow_tripdata_2015,4,143271
yellow_tripdata_2015,5,127437
yellow_tripdata_2015,6,268455
yellow_tripdata_2015,7,456127
yellow_tripdata_2015,8,561802
yellow_tripdata_2015,9,580034
yellow_tripdata_2015,10,567818
yellow_tripdata_2015,11,596504
yellow_tripdata_2015,12,637479
yellow_tripdata_2015,13,635587
yellow_tripdata_2015,14,658887
yellow_tripdata_2015,15,648688
yellow_tripdata_2015,16,576598
yellow_tripdata_2015,17,668790
yellow_tripdata_2015,18,799587
yellow_tripdata_2015,19,805230
yellow_tripdata_2015,20,733952
yellow_tripdata_2015,21,711579
yellow_tripdata_2015,22,686959
yellow_tripdata_2015,23,592429
yellow_tripdata_2024,0,1192044
yellow_tripdata_2024,1,775046
yellow_tripdata_2024,2,504187
yellow_tripdata_2024,3,331790
yellow_tripdata_2024,4,243817
yellow_tripdata_2024,5,264391
yellow_tripdata_2024,6,586403
yellow_tripdata_2024,7,1133880
yellow_tripdata_2024,8,1562647
yellow_tripdata_2024,9,1709199
yellow_tripdata_2024,10,1831576
yellow_tripdata_2024,11,1991265
yellow_tripdata_2024,12,2178786
yellow_tripdata_2024,13,2266970
yellow_tripdata_2024,14,2432603
yellow_tripdata_2024,15,2512081
yellow_tripdata_2024,16,2561465
yellow_tripdata_2024,17,2813259
yellow_tripdata_2024,18,2955735
yellow_tripdata_2024,19,2598187
yellow_tripdata_2024,20,2358283
yellow_tripdata_2024,21,2405757
yellow_tripdata_2024,22,2228352
yellow_tripdata_2024,23,1731941
