dataset,column_name,log10_floor_bucket,count
yellow_tripdata_2015,trip_distance,-2,14637
yellow_tripdata_2015,trip_distance,-1,3003685
yellow_tripdata_2015,trip_distance,0,9056586
yellow_tripdata_2015,trip_distance,1,594537
yellow_tripdata_2015,trip_distance,2,133
yellow_tripdata_2015,trip_distance,3,6
yellow_tripdata_2015,trip_distance,4,6
yellow_tripdata_2015,trip_distance,5,8
yellow_tripdata_2015,trip_distance,6,17
yellow_tripdata_2015,trip_distance,7,6
yellow_tripdata_2024,trip_distance,-2,180059
yellow_tripdata_2024,trip_distance,-1,8736425
yellow_tripdata_2024,trip_distance,0,28136163
yellow_tripdata_2024,trip_distance,1,3339099
yellow_tripdata_2024,trip_distance,2,589
yellow_tripdata_2024,trip_distance,3,125
yellow_tripdata_2024,trip_distance,4,761
yellow_tripdata_2024,trip_distance,5,138
