pickup_date,pickup_hour,weekday,is_weekend,time_band,trips,unique_pickup_zones,avg_passenger_count,avg_duration_minutes,avg_trip_distance,avg_total_amount,total_revenue,trips_share_in_personal_window
2024-03-28,21,Thu,false,Evening,9431,98,1.3658,16.6831,3.3179,26.6143,250999.22,0.013764
2024-10-26,23,Sat,true,Late,9059,165,1.4628,18.0927,3.2897,28.5515,258647.78,0.013221
2024-10-26,22,Sat,true,Late,8891,160,1.4756,18.8793,3.2612,28.4456,252910.17,0.012976
2024-09-28,23,Sat,true,Late,8718,139,1.4343,17.3517,3.176,27.109,236336.56,0.012723
2024-10-26,21,Sat,true,Evening,8702,152,1.4766,18.1707,3.3116,28.1655,245095.96,0.0127
2024-09-26,21,Thu,false,Evening,8701,97,1.3091,18.7475,3.5875,30.7149,267250.6,0.012699
2024-03-26,21,Tue,false,Evening,8493,94,1.3097,14.3643,3.3235,25.3547,215337.77,0.012395
2024-06-26,21,Wed,false,Evening,8365,117,1.3283,16.8917,3.1892,29.108,243488.52,0.012208
2024-09-28,22,Sat,true,Late,8150,132,1.478,17.7584,3.0757,27.4899,224042.44,0.011894
2024-03-28,22,Thu,false,Late,8103,100,1.4039,16.0815,3.2878,26.3119,213205.63,0.011826
2024-03-27,21,Wed,false,Evening,8039,98,1.3139,14.0826,3.299,25.532,205251.52,0.011732
2024-02-27,21,Tue,false,Evening,7991,84,1.3062,13.7277,4.7916,25.4027,202993.05,0.011662
2024-09-26,22,Thu,false,Late,7979,100,1.2998,17.0624,3.5945,29.7261,237184.47,0.011645
2024-06-27,22,Thu,false,Late,7842,111,1.3505,17.7498,4.4713,29.4929,231282.93,0.011445
2024-10-27,0,Sun,true,Late,7708,171,1.4546,16.9911,3.4343,28.0019,215838.4,0.011249
2024-06-27,21,Thu,false,Evening,7597,108,1.3342,18.3926,3.5266,29.5178,224246.83,0.011087
2024-09-27,23,Fri,false,Late,7510,106,1.4334,15.5016,3.1796,26.646,200111.68,0.01096
2024-10-26,0,Sat,true,Late,7486,142,1.429,18.1188,3.3856,28.0454,209947.61,0.010925
2024-08-28,21,Wed,false,Evening,7475,118,1.3659,15.3395,3.3995,26.558,198521.22,0.010909
2024-06-26,22,Wed,false,Late,7429,111,1.3243,15.0749,3.348,28.4804,211580.62,0.010842
