pu_borough,do_borough,trips,trip_share,total_revenue,avg_total_amount,avg_trip_distance,avg_duration_minutes,airport_trip_share
Manhattan,Manhattan,554348,0.809043,1.206039747E7,21.756,3.2159,13.3853,2.9E-5
Queens,Manhattan,40005,0.058385,3219416.96,80.4754,14.5455,32.0677,0.940257
Manhattan,Brooklyn,23725,0.034625,1032660.65,43.5263,6.1418,27.8988,4.2E-5
Queens,Queens,18546,0.027067,710680.22,38.3199,6.8342,17.7775,0.804378
Queens,Brooklyn,15083,0.022013,1040390.94,68.9777,13.8477,31.9646,0.910827
Manhattan,Queens,10920,0.015937,506466.67,46.3797,7.0567,28.3932,0.063187
Brooklyn,Brooklyn,5091,0.00743,113918.97,22.3765,19.5605,16.8651,5.89E-4
Brooklyn,Manhattan,3508,0.00512,128238.67,36.5561,5.9514,24.8458,0.0
Queens,N/A,2710,0.003955,350023.67,129.16,21.4684,36.1044,0.954982
Manhattan,Bronx,2147,0.003133,106207.94,49.4681,9.2506,27.5135,0.0
Queens,Bronx,1754,0.00256,138487.21,78.9551,15.9332,31.5148,0.884265
Manhattan,Unknown,1271,0.001855,30358.03,23.8852,2.4077,15.4947,0.0
Manhattan,N/A,1088,0.001588,113582.29,104.3955,19.6082,37.0733,0.0
Brooklyn,Queens,1075,0.001569,37275.72,34.6751,7.7505,24.6298,0.024186
Unknown,Unknown,1069,0.00156,30902.36,28.9077,3.696,21.8208,0.016838
Bronx,Bronx,704,0.001027,14457.5,20.5362,3.7429,16.0,0.0
Unknown,Manhattan,664,9.69E-4,19004.26,28.6209,3.5448,14.7119,0.021084
Bronx,Manhattan,391,5.71E-4,13971.75,35.7334,7.2665,24.643,0.002558
Brooklyn,Bronx,134,1.96E-4,8286.87,61.8423,16.5378,41.1842,0.0
Manhattan,Staten Island,117,1.71E-4,13835.96,118.2561,19.7235,56.1161,0.0
