pu_location_id,do_location_id,pickup_hour,trips_h1,trips_h2,trips_change_pct,avg_fare_h1,avg_fare_h2,fare_change_pct,avg_total_h1,avg_total_h2,total_amount_change_pct
113,255,18,35,103,194.2857,28.3649,31.4208,10.7736,40.296,44.1337,9.5237
132,158,1,39,105,169.2308,70.0,70.8613,1.2305,92.421,92.7117,0.3145
234,255,18,48,112,133.3333,31.4375,33.2169,5.66,44.0135,46.4261,5.4813
138,93,9,45,101,124.4444,22.5311,20.699,-8.1314,34.4618,33.0081,-4.2182
249,255,18,30,65,116.6667,31.178,34.7737,11.5328,42.3667,46.8952,10.689
79,255,18,55,116,110.9091,23.8584,27.7639,16.3696,33.7384,39.189,16.1555
79,255,17,38,80,110.5263,25.9158,28.695,10.724,36.2708,39.8365,9.8308
239,138,3,30,63,110.0,42.15,43.4443,3.0707,64.6017,66.3002,2.6292
113,255,21,36,74,105.5556,25.9781,29.7146,14.3834,35.7625,40.7712,14.0055
48,113,7,44,89,102.2727,15.1082,15.2357,0.8442,22.4336,22.1922,-1.076
13,143,15,31,62,100.0,29.4035,28.4021,-3.4059,38.17,36.9816,-3.1134
164,7,2,39,77,97.4359,25.1487,25.0,-0.5914,34.7733,33.9422,-2.3901
231,12,11,34,67,97.0588,11.7274,10.4522,-10.873,17.5612,16.1288,-8.1565
113,256,18,34,67,97.0588,26.05,26.8119,2.9249,36.2412,37.7272,4.1003
116,231,7,32,63,96.875,36.3187,35.9644,-0.9755,39.4419,38.44,-2.5401
234,255,17,44,86,95.4545,32.1295,32.3583,0.7118,45.0709,45.2465,0.3896
68,1,6,40,77,92.5,85.5475,86.4825,1.0929,116.3755,119.1262,2.3637
164,244,21,38,73,92.1053,36.2739,37.2633,2.7274,43.2166,45.4958,5.2738
186,1,4,34,65,91.1765,88.5276,85.172,-3.7905,120.3744,112.1917,-6.7977
68,162,4,42,80,90.4762,14.5512,15.1618,4.1959,20.9345,21.775,4.0148
