pu_location_id,do_location_id,pickup_hour,trips_h1,trips_h2,trips_change_pct,avg_fare_h1,avg_fare_h2,fare_change_pct,avg_total_h1,avg_total_h2,total_amount_change_pct
246,232,13,95,33,-65.2632,27.9781,29.4809,5.3714,35.8106,37.6506,5.1381
132,45,7,64,30,-53.125,70.5047,70.0,-0.7158,91.33,91.3933,0.0693
166,246,21,80,38,-52.5,24.0364,23.2139,-3.4216,29.2513,29.3771,0.4303
229,166,19,75,36,-52.0,24.4068,24.7292,1.3208,34.0249,34.2831,0.7586
50,243,23,74,36,-51.3514,31.8935,32.1358,0.7598,39.6138,39.9864,0.9406
132,209,9,71,35,-50.7042,70.7014,70.5257,-0.2485,93.0794,92.6571,-0.4537
246,232,12,62,31,-50.0,29.805,29.0616,-2.4942,38.1961,36.1119,-5.4566
68,137,5,60,30,-50.0,10.99,10.532,-4.1674,17.9945,17.1,-4.971
170,13,0,71,36,-49.2958,26.089,27.3697,4.909,34.8711,36.5203,4.7293
24,140,12,71,37,-47.8873,24.1092,25.0681,3.9775,31.9341,33.8165,5.8946
138,45,12,86,45,-47.6744,48.5977,51.1756,5.3045,71.0523,73.4104,3.3188
132,158,5,57,30,-47.3684,68.8246,70.9667,3.1124,92.2093,94.3453,2.3165
239,79,1,60,32,-46.6667,26.4907,25.7863,-2.6591,35.3452,33.8772,-4.1533
125,209,23,60,32,-46.6667,11.8728,11.7625,-0.9293,18.6415,18.7106,0.3708
166,24,23,97,52,-46.3918,7.2152,7.4908,3.8199,10.3512,10.5044,1.4799
138,10,21,72,39,-45.8333,42.9847,41.0641,-4.4681,58.8344,56.3772,-4.1766
50,87,18,57,31,-45.614,29.2068,29.9371,2.5003,37.513,38.7287,3.2408
50,140,23,66,36,-45.4545,17.1041,18.1328,6.0143,25.2462,25.7742,2.0912
107,66,21,55,30,-45.4545,22.1618,23.9957,8.2748,32.1836,33.7957,5.0089
137,264,12,64,35,-45.3125,17.4011,14.78,-15.0628,23.4825,20.8691,-11.129
